timestamp,open,high,low,close,volume
2025-07-07 02:50:00,109428.38,109444.79,109382.36,109398.3,21.4608
2025-07-07 02:55:00,109398.31,109398.31,109364.52,109364.52,15.85077
2025-07-07 03:00:00,109364.53,109460.57,109364.52,109400.01,28.81783
2025-07-07 03:05:00,109400.01,109450.0,109400.0,109439.52,10.68397
2025-07-07 03:10:00,109439.52,109442.53,109408.48,109408.48,9.26513
2025-07-07 03:15:00,109408.49,109450.0,109408.28,109449.99,15.60531
2025-07-07 03:20:00,109450.0,109465.6,109438.0,109463.99,14.57673
2025-07-07 03:25:00,109464.0,109700.0,109463.99,109615.99,86.93034
2025-07-07 03:30:00,109616.0,109616.0,109515.04,109531.27,28.91939
2025-07-07 03:35:00,109531.28,109600.0,109531.27,109575.36,38.37111
2025-07-07 03:40:00,109575.35,109584.62,109519.43,109536.22,36.53136
2025-07-07 03:45:00,109536.23,109536.23,109400.0,109450.01,34.06198
2025-07-07 03:50:00,109450.0,109450.0,109400.0,109400.01,7.71285
2025-07-07 03:55:00,109400.0,109400.01,109368.17,109389.47,15.09022
2025-07-07 04:00:00,109389.46,109447.54,109389.46,109445.99,17.01632
2025-07-07 04:05:00,109445.99,109445.99,109333.27,109333.66,17.1267
2025-07-07 04:10:00,109333.66,109345.0,109300.0,109327.67,23.77687
2025-07-07 04:15:00,109327.67,109368.42,109269.66,109287.92,16.85497
2025-07-07 04:20:00,109287.93,109287.93,109228.0,109228.0,13.25932
2025-07-07 04:25:00,109228.01,109244.0,109204.94,109232.01,11.40747
2025-07-07 04:30:00,109232.0,109246.68,109206.4,109216.01,26.03264
2025-07-07 04:35:00,109216.01,109216.01,109206.4,109207.12,6.05798
2025-07-07 04:40:00,109207.11,109207.12,109143.62,109143.63,21.07827
2025-07-07 04:45:00,109143.62,109196.23,109128.72,109190.0,15.89514
2025-07-07 04:50:00,109190.0,109190.01,109141.45,109141.45,12.31558
2025-07-07 04:55:00,109141.45,109141.46,109128.72,109128.73,3.25691
