symbol,price,volume_24h,change_24h,status
BTCUSDT,119243.4,9288874628.51,1.519,available
ETHUSDT,3003.39,9073028380.47,2.253,available
SOLUSDT,163.28,1778418358.6387,1.916,available
BNBUSDT,693.62,171163679.593,1.368,available
ADAUSDT,0.7508,605299308.7162,6.617,available
XRPUSDT,2.8631,3080081675.7146,4.814,available
DOTUSDT,4.044,152285828.114,4.2,available
LINKUSDT,15.874,228477972.957,5.883,available
MATICUSDT,,0.0,,available
MATICUSDT,0.0,0.0,0.0,unavailable
AVAXUSDT,21.68,242654731.936,4.988,available
LTCUSDT,96.61,164177698.89,4.466,available
BCHUSDT,509.9,143795778.49,0.513,available
EOSUSDT,,0.0,,available
EOSUSDT,0.0,0.0,0.0,unavailable
TRXUSDT,0.30353,83483196.91671,1.119,available
FILUSDT,2.609,86301193.154,3.327,available
NEARUSDT,2.583,111697468.572,4.406,available
ATOMUSDT,4.727,27732310.999,3.435,available
FTMUSDT,0.7702,80303756.7992,-7.361,available
ALGOUSDT,0.2634,164753549.8844,21.382,available
VETUSDT,0.02507,19925164.532635,6.586,available
