symbol,base,quote,type,futures_available,active,spot,future
SPK/USDT,SPK,USDT,spot,True,True,True,True
SSV/BTC,SSV,BTC,spot,True,True,True,True
SSV/USDT,SSV,USDT,spot,True,True,True,True
STEEM/BTC,STEEM,BTC,spot,True,True,True,True
STEEM/USDT,STEEM,USDT,spot,True,True,True,True
STG/BTC,STG,BTC,spot,True,True,True,True
STG/USDT,STG,USDT,spot,True,True,True,True
STO/USDT,STO,USDT,spot,True,True,True,True
STORJ/BTC,STORJ,BTC,spot,True,True,True,True
STORJ/USDT,STORJ,USDT,spot,True,True,True,True
STRAX/BTC,STRAX,BTC,spot,True,True,True,True
STRAX/USDT,STRAX,USDT,spot,True,True,True,True
STRK/USDT,STRK,USDT,spot,True,True,True,True
STX/BTC,STX,BTC,spot,True,True,True,True
STX/USDT,STX,USDT,spot,True,True,True,True
SUI/BTC,SUI,BTC,spot,True,True,True,True
SUI/USDT,SUI,USDT,spot,True,True,True,True
SUN/USDT,SUN,USDT,spot,True,True,True,True
SUPER/BTC,SUPER,BTC,spot,True,True,True,True
SUPER/USDT,SUPER,USDT,spot,True,True,True,True
SUSHI/BTC,SUSHI,BTC,spot,True,True,True,True
SUSHI/USDT,SUSHI,USDT,spot,True,True,True,True
SXP/BTC,SXP,BTC,spot,True,True,True,True
SXP/USDT,SXP,USDT,spot,True,True,True,True
SXT/USDT,SXT,USDT,spot,True,True,True,True
SYN/USDT,SYN,USDT,spot,True,True,True,True
SYRUP/USDT,SYRUP,USDT,spot,True,True,True,True
SYS/BTC,SYS,BTC,spot,True,True,True,True
SYS/USDT,SYS,USDT,spot,True,True,True,True
T/USDT,T,USDT,spot,True,True,True,True
TAO/BTC,TAO,BTC,spot,True,True,True,True
TAO/USDT,TAO,USDT,spot,True,True,True,True
TFUEL/BTC,TFUEL,BTC,spot,True,True,True,True
TFUEL/USDT,TFUEL,USDT,spot,True,True,True,True
THE/USDT,THE,USDT,spot,True,True,True,True
THETA/BTC,THETA,BTC,spot,True,True,True,True
THETA/USDT,THETA,USDT,spot,True,True,True,True
TIA/BTC,TIA,BTC,spot,True,True,True,True
TIA/USDT,TIA,USDT,spot,True,True,True,True
TKO/USDT,TKO,USDT,spot,True,True,True,True
TLM/USDT,TLM,USDT,spot,True,True,True,True
TNSR/USDT,TNSR,USDT,spot,True,True,True,True
TON/BTC,TON,BTC,spot,True,True,True,True
TON/USDT,TON,USDT,spot,True,True,True,True
TRB/BTC,TRB,BTC,spot,True,True,True,True
TRB/USDT,TRB,USDT,spot,True,True,True,True
TRU/USDT,TRU,USDT,spot,True,True,True,True
TRUMP/USDT,TRUMP,USDT,spot,True,True,True,True
TRX/BTC,TRX,BTC,spot,True,True,True,True
TRX/USDT,TRX,USDT,spot,True,True,True,True
TST/USDT,TST,USDT,spot,True,True,True,True
TURBO/USDT,TURBO,USDT,spot,True,True,True,True
TUSD/USDT,TUSD,USDT,spot,True,True,True,True
TUT/USDT,TUT,USDT,spot,True,True,True,True
TWT/USDT,TWT,USDT,spot,True,True,True,True
UMA/BTC,UMA,BTC,spot,True,True,True,True
UMA/USDT,UMA,USDT,spot,True,True,True,True
UNI/BTC,UNI,BTC,spot,True,True,True,True
UNI/USDT,UNI,USDT,spot,True,True,True,True
USD1/USDT,USD1,USDT,spot,True,True,True,True
USDC/USDT,USDC,USDT,spot,True,True,True,True
USDP/USDT,USDP,USDT,spot,True,True,True,True
USTC/USDT,USTC,USDT,spot,True,True,True,True
USUAL/BTC,USUAL,BTC,spot,True,True,True,True
USUAL/USDT,USUAL,USDT,spot,True,True,True,True
UTK/USDT,UTK,USDT,spot,True,True,True,True
VANA/USDT,VANA,USDT,spot,True,True,True,True
VANRY/USDT,VANRY,USDT,spot,True,True,True,True
VELODROME/USDT,VELODROME,USDT,spot,True,True,True,True
VET/BTC,VET,BTC,spot,True,True,True,True
VET/USDT,VET,USDT,spot,True,True,True,True
VIC/USDT,VIC,USDT,spot,True,True,True,True
VIRTUAL/USDT,VIRTUAL,USDT,spot,True,True,True,True
VOXEL/USDT,VOXEL,USDT,spot,True,True,True,True
VTHO/USDT,VTHO,USDT,spot,True,True,True,True
W/BTC,W,BTC,spot,True,True,True,True
W/USDT,W,USDT,spot,True,True,True,True
WAN/BTC,WAN,BTC,spot,True,True,True,True
WAN/USDT,WAN,USDT,spot,True,True,True,True
WAXP/BTC,WAXP,BTC,spot,True,True,True,True
WAXP/USDT,WAXP,USDT,spot,True,True,True,True
WBETH/USDT,WBETH,USDT,spot,True,True,True,True
WBTC/BTC,WBTC,BTC,spot,True,True,True,True
WBTC/USDT,WBTC,USDT,spot,True,True,True,True
WCT/USDT,WCT,USDT,spot,True,True,True,True
WIF/BTC,WIF,BTC,spot,True,True,True,True
WIF/USDT,WIF,USDT,spot,True,True,True,True
WIN/USDT,WIN,USDT,spot,True,True,True,True
WLD/BTC,WLD,BTC,spot,True,True,True,True
WLD/USDT,WLD,USDT,spot,True,True,True,True
WOO/USDT,WOO,USDT,spot,True,True,True,True
XAI/USDT,XAI,USDT,spot,True,True,True,True
XEC/USDT,XEC,USDT,spot,True,True,True,True
XLM/BTC,XLM,BTC,spot,True,True,True,True
XLM/USDT,XLM,USDT,spot,True,True,True,True
XNO/BTC,XNO,BTC,spot,True,True,True,True
XNO/USDT,XNO,USDT,spot,True,True,True,True
XRP/BTC,XRP,BTC,spot,True,True,True,True
XRP/USDT,XRP,USDT,spot,True,True,True,True
XTZ/BTC,XTZ,BTC,spot,True,True,True,True
XTZ/USDT,XTZ,USDT,spot,True,True,True,True
XUSD/USDT,XUSD,USDT,spot,True,True,True,True
XVG/USDT,XVG,USDT,spot,True,True,True,True
XVS/BTC,XVS,BTC,spot,True,True,True,True
XVS/USDT,XVS,USDT,spot,True,True,True,True
YFI/BTC,YFI,BTC,spot,True,True,True,True
YFI/USDT,YFI,USDT,spot,True,True,True,True
YGG/BTC,YGG,BTC,spot,True,True,True,True
YGG/USDT,YGG,USDT,spot,True,True,True,True
ZEC/BTC,ZEC,BTC,spot,True,True,True,True
ZEC/USDT,ZEC,USDT,spot,True,True,True,True
ZEN/BTC,ZEN,BTC,spot,True,True,True,True
ZEN/USDT,ZEN,USDT,spot,True,True,True,True
ZIL/USDT,ZIL,USDT,spot,True,True,True,True
ZK/BTC,ZK,BTC,spot,True,True,True,True
ZK/USDT,ZK,USDT,spot,True,True,True,True
ZRO/BTC,ZRO,BTC,spot,True,True,True,True
ZRO/USDT,ZRO,USDT,spot,True,True,True,True
ZRX/BTC,ZRX,BTC,spot,True,True,True,True
ZRX/USDT,ZRX,USDT,spot,True,True,True,True
