symbol,base,quote,type,futures_available,active,spot,future
BTC/USDT,BTC,USDT,spot,True,True,True,True
BTC/USDT:USDT-250926,BTC,USDT,future,True,True,False,True
BTC/USDT:USDT-251226,BTC,USDT,future,True,True,False,True
BTTC/USDT,BTTC,USDT,spot,True,True,True,True
C98/USDT,C98,USDT,spot,True,True,True,True
CAKE/BTC,CAKE,BTC,spot,True,True,True,True
CAKE/USDT,CAKE,USDT,spot,True,True,True,True
CATI/USDT,CATI,USDT,spot,True,True,True,True
CELO/BTC,CELO,BTC,spot,True,True,True,True
CELO/USDT,CELO,USDT,spot,True,True,True,True
CELR/USDT,CELR,USDT,spot,True,True,True,True
CETUS/USDT,CETUS,USDT,spot,True,True,True,True
CFX/BTC,CFX,BTC,spot,True,True,True,True
CFX/USDT,CFX,USDT,spot,True,True,True,True
CGPT/USDT,CGPT,USDT,spot,True,True,True,True
CHESS/USDT,CHESS,USDT,spot,True,True,True,True
CHR/BTC,CHR,BTC,spot,True,True,True,True
CHR/USDT,CHR,USDT,spot,True,True,True,True
CHZ/BTC,CHZ,BTC,spot,True,True,True,True
CHZ/USDT,CHZ,USDT,spot,True,True,True,True
CITY/USDT,CITY,USDT,spot,True,True,True,True
CKB/USDT,CKB,USDT,spot,True,True,True,True
COMP/BTC,COMP,BTC,spot,True,True,True,True
COMP/USDT,COMP,USDT,spot,True,True,True,True
COOKIE/USDT,COOKIE,USDT,spot,True,True,True,True
COS/USDT,COS,USDT,spot,True,True,True,True
COTI/BTC,COTI,BTC,spot,True,True,True,True
COTI/USDT,COTI,USDT,spot,True,True,True,True
COW/USDT,COW,USDT,spot,True,True,True,True
CRV/BTC,CRV,BTC,spot,True,True,True,True
CRV/USDT,CRV,USDT,spot,True,True,True,True
CTK/BTC,CTK,BTC,spot,True,True,True,True
CTK/USDT,CTK,USDT,spot,True,True,True,True
CTSI/BTC,CTSI,BTC,spot,True,True,True,True
CTSI/USDT,CTSI,USDT,spot,True,True,True,True
CVC/USDT,CVC,USDT,spot,True,True,True,True
CVX/USDT,CVX,USDT,spot,True,True,True,True
CYBER/BTC,CYBER,BTC,spot,True,True,True,True
CYBER/USDT,CYBER,USDT,spot,True,True,True,True
D/USDT,D,USDT,spot,True,True,True,True
DASH/BTC,DASH,BTC,spot,True,True,True,True
DASH/USDT,DASH,USDT,spot,True,True,True,True
DATA/BTC,DATA,BTC,spot,True,True,True,True
DATA/USDT,DATA,USDT,spot,True,True,True,True
DCR/USDT,DCR,USDT,spot,True,True,True,True
DEGO/USDT,DEGO,USDT,spot,True,True,True,True
DENT/USDT,DENT,USDT,spot,True,True,True,True
DEXE/USDT,DEXE,USDT,spot,True,True,True,True
DF/USDT,DF,USDT,spot,True,True,True,True
DGB/USDT,DGB,USDT,spot,True,True,True,True
DIA/BTC,DIA,BTC,spot,True,True,True,True
DIA/USDT,DIA,USDT,spot,True,True,True,True
DODO/BTC,DODO,BTC,spot,True,True,True,True
DODO/USDT,DODO,USDT,spot,True,True,True,True
DOGE/BTC,DOGE,BTC,spot,True,True,True,True
DOGE/USDT,DOGE,USDT,spot,True,True,True,True
DOGS/USDT,DOGS,USDT,spot,True,True,True,True
DOT/BTC,DOT,BTC,spot,True,True,True,True
DOT/USDT,DOT,USDT,spot,True,True,True,True
DUSK/BTC,DUSK,BTC,spot,True,True,True,True
DUSK/USDT,DUSK,USDT,spot,True,True,True,True
DYDX/BTC,DYDX,BTC,spot,True,True,True,True
DYDX/USDT,DYDX,USDT,spot,True,True,True,True
DYM/USDT,DYM,USDT,spot,True,True,True,True
EDU/USDT,EDU,USDT,spot,True,True,True,True
EGLD/BTC,EGLD,BTC,spot,True,True,True,True
EGLD/USDT,EGLD,USDT,spot,True,True,True,True
EIGEN/BTC,EIGEN,BTC,spot,True,True,True,True
EIGEN/USDT,EIGEN,USDT,spot,True,True,True,True
ENA/BTC,ENA,BTC,spot,True,True,True,True
ENA/USDT,ENA,USDT,spot,True,True,True,True
ENJ/BTC,ENJ,BTC,spot,True,True,True,True
ENJ/USDT,ENJ,USDT,spot,True,True,True,True
ENS/BTC,ENS,BTC,spot,True,True,True,True
ENS/USDT,ENS,USDT,spot,True,True,True,True
EPIC/USDT,EPIC,USDT,spot,True,True,True,True
ETC/BTC,ETC,BTC,spot,True,True,True,True
ETC/USDT,ETC,USDT,spot,True,True,True,True
ETH/BTC,ETH,BTC,spot,True,True,True,True
ETH/USDT,ETH,USDT,spot,True,True,True,True
ETH/USDT:USDT-250926,ETH,USDT,future,True,True,False,True
ETH/USDT:USDT-251226,ETH,USDT,future,True,True,False,True
ETHFI/USDT,ETHFI,USDT,spot,True,True,True,True
EUR/USDT,EUR,USDT,spot,True,True,True,True
EURI/USDT,EURI,USDT,spot,True,True,True,True
FARM/USDT,FARM,USDT,spot,True,True,True,True
FDUSD/USDT,FDUSD,USDT,spot,True,True,True,True
FET/BTC,FET,BTC,spot,True,True,True,True
FET/USDT,FET,USDT,spot,True,True,True,True
FIDA/BTC,FIDA,BTC,spot,True,True,True,True
FIDA/USDT,FIDA,USDT,spot,True,True,True,True
FIL/BTC,FIL,BTC,spot,True,True,True,True
